text,href,absolute_url,domain
24Tamil Nadu,#Tamil_Nadu,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Tamil_Nadu,en.wikipedia.org
25Telangana,#Telangana,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Telangana,en.wikipedia.org
26Tripura,#Tripura,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Tripura,en.wikipedia.org
27Uttar Pradesh,#Uttar_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Uttar_Pradesh,en.wikipedia.org
28Uttarakhand,#Uttarakhand,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Uttarakhand,en.wikipedia.org
29West Bengal,#West_Bengal,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#West_Bengal,en.wikipedia.org
30See also,#See_also,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#See_also,en.wikipedia.org
31References,#References,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#References,en.wikipedia.org
32External links,#External_links,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#External_links,en.wikipedia.org
বাংলা,https://bn.wikipedia.org/wiki/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0_%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81_%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE,https://bn.wikipedia.org/wiki/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0_%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81_%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE,bn.wikipedia.org
Bahasa Indonesia,https://id.wikipedia.org/wiki/Daftar_kuil_Hindu_di_India,https://id.wikipedia.org/wiki/Daftar_kuil_Hindu_di_India,id.wikipedia.org
Shqip,https://sq.wikipedia.org/wiki/Lista_e_tempujve_hindu_n%C3%AB_Indi,https://sq.wikipedia.org/wiki/Lista_e_tempujve_hindu_n%C3%AB_Indi,sq.wikipedia.org
తెలుగు,https://te.wikipedia.org/wiki/%E0%B0%AD%E0%B0%BE%E0%B0%B0%E0%B0%A4%E0%B0%A6%E0%B1%87%E0%B0%B6_%E0%B0%B9%E0%B0%BF%E0%B0%82%E0%B0%A6%E0%B1%82_%E0%B0%A6%E0%B1%87%E0%B0%B5%E0%B0%BE%E0%B0%B2%E0%B0%AF%E0%B0%BE%E0%B0%B2_%E0%B0%9C%E0%B0%BE%E0%B0%AC%E0%B0%BF%E0%B0%A4%E0%B0%BE,https://te.wikipedia.org/wiki/%E0%B0%AD%E0%B0%BE%E0%B0%B0%E0%B0%A4%E0%B0%A6%E0%B1%87%E0%B0%B6_%E0%B0%B9%E0%B0%BF%E0%B0%82%E0%B0%A6%E0%B1%82_%E0%B0%A6%E0%B1%87%E0%B0%B5%E0%B0%BE%E0%B0%B2%E0%B0%AF%E0%B0%BE%E0%B0%B2_%E0%B0%9C%E0%B0%BE%E0%B0%AC%E0%B0%BF%E0%B0%A4%E0%B0%BE,te.wikipedia.org
Edit links,https://www.wikidata.org/wiki/Special:EntityPage/Q6573227#sitelinks-wikipedia,https://www.wikidata.org/wiki/Special:EntityPage/Q6573227#sitelinks-wikipedia,www.wikidata.org
Article,/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,en.wikipedia.org
Talk,/wiki/Talk:List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/Talk:List_of_Hindu_temples_in_India,en.wikipedia.org
Read,/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,en.wikipedia.org
Edit,/w/index.php?title=List_of_Hindu_temples_in_India&action=edit,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=edit,en.wikipedia.org
View history,/w/index.php?title=List_of_Hindu_temples_in_India&action=history,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=history,en.wikipedia.org
Read,/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,en.wikipedia.org
Edit,/w/index.php?title=List_of_Hindu_temples_in_India&action=edit,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=edit,en.wikipedia.org
View history,/w/index.php?title=List_of_Hindu_temples_in_India&action=history,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=history,en.wikipedia.org
What links here,/wiki/Special:WhatLinksHere/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/Special:WhatLinksHere/List_of_Hindu_temples_in_India,en.wikipedia.org
Related changes,/wiki/Special:RecentChangesLinked/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/List_of_Hindu_temples_in_India,en.wikipedia.org
Upload file,//en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard,en.wikipedia.org
Permanent link,/w/index.php?title=List_of_Hindu_temples_in_India&oldid=1368494211,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&oldid=1368494211,en.wikipedia.org
Page information,/w/index.php?title=List_of_Hindu_temples_in_India&action=info,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=info,en.wikipedia.org
