page_url,image_url
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Kalibari_Shimla.jpg/250px-Kalibari_Shimla.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jwalamukhi_temple%2Ckangra%2C_himachal_pradesh..JPG/250px-Jwalamukhi_temple%2Ckangra%2C_himachal_pradesh..JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/0051223_Vajreshwari_Devi_Mandir%2C_Kangra_Himachal_Pradesh_011.jpg/250px-0051223_Vajreshwari_Devi_Mandir%2C_Kangra_Himachal_Pradesh_011.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Jakhoo_Mandir_drone_view.jpg/250px-Jakhoo_Mandir_drone_view.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF/lossy-page1-250px-Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Lord_Amarnath.jpg/250px-Lord_Amarnath.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mata_Vaishno_Devi_Bhawan%2C_Jammu._India.jpg/250px-Mata_Vaishno_Devi_Bhawan%2C_Jammu._India.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Baba_Dham.jpg/250px-Baba_Dham.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Maa_Dewri_Mandir.jpg/250px-Maa_Dewri_Mandir.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Jaganath_Temple%2C_Ranchi.jpg/250px-Jaganath_Temple%2C_Ranchi.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Shiva_Statue_Murdeshwara_Temple.jpg/250px-Shiva_Statue_Murdeshwara_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Durga_Temple.jpg/250px-Durga_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ISKCON_Banglaore_Temple.jpg/250px-ISKCON_Banglaore_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Hampi_Virupaksha_temple.JPG/250px-Hampi_Virupaksha_temple.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Ananthapuram_Lak_Temple.JPG/250px-Ananthapuram_Lak_Temple.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Poornathrayisa_back_side.JPG/250px-Poornathrayisa_back_side.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vadakkunnathan_Temple_west_nada_-_0204.JPG/250px-Vadakkunnathan_Temple_west_nada_-_0204.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Sabarimala_sannidhanam.jpg/250px-Sabarimala_sannidhanam.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Vazhappally_Temple.jpg/250px-Vazhappally_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/250px-Mahakal_Temple_Ujjain.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Khajuraho.KandariyaMahadeva.jpg/250px-Khajuraho.KandariyaMahadeva.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sas_Bahu_Temple.jpg/250px-Sas_Bahu_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Siddhivinayak_temple.jpg/250px-Siddhivinayak_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Sri_Sai_Baba_Temple_%2C_Shirdi.jpg/250px-Sri_Sai_Baba_Temple_%2C_Shirdi.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Trimbakeshwar_nj.jpg/250px-Trimbakeshwar_nj.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Elephanta_Caves_Trimurti.jpg/250px-Elephanta_Caves_Trimurti.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
